%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1562019559569888986,15039,1562019559549999952,gpsRover,2,3,33.7744716168,-84.4053812865,276.805,0.000529,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.001089,2
1562019559620870163,15040,1562019559599999905,gpsRover,2,3,33.7744721522,-84.4053828975,276.814,0.000529,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.001089,2
1562019559673807444,15041,1562019559650000095,gpsRover,2,3,33.774472665,-84.4053845797,276.815,0.000529,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.001089,2
1562019559720772237,15042,1562019559700000048,gpsRover,2,3,33.7744730842,-84.4053861428,276.815,0.000529,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.001089,2
1562019559770770559,15043,1562019559750000000,gpsRover,2,3,33.7744735145,-84.4053877408,276.806,0.000529,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.001089,2
1562019559819668761,15044,1562019559799999952,gpsRover,2,3,33.7744739293,-84.4053894605,276.819,0.000529,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.001089,2
1562019559870714512,15045,1562019559849999905,gpsRover,2,3,33.7744742585,-84.4053911698,276.812,0.000529,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.001089,2
1562019559920668623,15046,1562019559900000095,gpsRover,2,3,33.7744745742,-84.4053928833,276.793,0.000529,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.001089,2
1562019559970623478,15047,1562019559950000048,gpsRover,2,3,33.774474939,-84.4053944447,276.788,0.000529,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.001089,2
1562019560020599740,15048,1562019560000000000,gpsRover,2,3,33.7744751672,-84.4053962075,276.791,0.000529,0.0,0.0,0.0,0.000144,0.0,0.0,0.0,0.001089,2
1562019560080514042,15049,1562019560049999952,gpsRover,2,3,33.774475382,-84.4053979238,276.784,0.000576,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.001156,2
1562019560121461629,15050,1562019560099999905,gpsRover,2,3,33.774475582,-84.4053998148,276.815,0.000576,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.001156,2
1562019560170397411,15051,1562019560150000095,gpsRover,2,3,33.7744758328,-84.4054014467,276.773,0.000576,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.001156,2
1562019560220476172,15052,1562019560200000048,gpsRover,2,3,33.774475967,-84.405403396,276.785,0.000576,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.001156,2
1562019560270321532,15053,1562019560250000000,gpsRover,2,3,33.7744759887,-84.4054051332,276.773,0.000576,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.001156,2
1562019560320336366,15054,1562019560299999952,gpsRover,2,3,33.7744760497,-84.4054068937,276.786,0.000576,0.0,0.0,0.0,0.000169,0.0,0.0,0.0,0.001156,2
