%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1629387396220257305,125937,1629387396200000048,gpsRover,1,3,33.9111334555,-84.5300074127,300.907,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396269493044,125938,1629387396250000000,gpsRover,1,3,33.9111334522,-84.5300073928,300.906,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396320038663,125939,1629387396299999952,gpsRover,1,3,33.9111334453,-84.5300073697,300.913,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396370133116,125940,1629387396349999905,gpsRover,1,3,33.9111334487,-84.5300073432,300.902,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396420330825,125941,1629387396400000095,gpsRover,1,3,33.9111334132,-84.5300073348,300.908,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396469925214,125942,1629387396450000048,gpsRover,1,3,33.9111334183,-84.5300073453,300.907,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396523875172,125943,1629387396500000000,gpsRover,1,3,33.9111334092,-84.5300073698,300.906,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396569980293,125944,1629387396549999952,gpsRover,1,3,33.9111334163,-84.5300073578,300.907,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396619082275,125945,1629387396599999905,gpsRover,1,3,33.911133429,-84.5300073478,300.897,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396670163024,125946,1629387396650000095,gpsRover,1,3,33.9111334305,-84.5300073525,300.902,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396720050806,125947,1629387396700000048,gpsRover,1,3,33.9111334245,-84.5300073638,300.903,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396768983650,125948,1629387396750000000,gpsRover,1,3,33.9111334237,-84.5300073532,300.905,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396819830324,125949,1629387396799999952,gpsRover,1,3,33.9111334133,-84.5300073517,300.907,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396869771106,125950,1629387396849999905,gpsRover,1,3,33.9111334165,-84.5300073587,300.903,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396919784997,125951,1629387396900000095,gpsRover,1,3,33.9111334152,-84.5300073548,300.9,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387396969708558,125952,1629387396950000048,gpsRover,1,3,33.9111334018,-84.5300073348,300.911,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387397020588330,125953,1629387397000000000,gpsRover,1,3,33.9111334042,-84.5300073373,300.9,0.237169,0.0,0.0,0.0,0.173056,0.0,0.0,0.0,1.390041,2
1629387397089517780,125954,1629387397049999952,gpsRover,1,3,33.9111333873,-84.5300073557,300.911,0.238144,0.0,0.0,0.0,0.174724,0.0,0.0,0.0,1.397124,2
1629387397120631079,125955,1629387397099999905,gpsRover,1,3,33.9111333805,-84.5300073442,300.915,0.238144,0.0,0.0,0.0,0.174724,0.0,0.0,0.0,1.397124,2
1629387397170561767,125956,1629387397150000095,gpsRover,1,3,33.9111333785,-84.5300073565,300.911,0.238144,0.0,0.0,0.0,0.174724,0.0,0.0,0.0,1.397124,2
1629387397219563037,125957,1629387397200000048,gpsRover,1,3,33.9111333803,-84.5300073513,300.914,0.238144,0.0,0.0,0.0,0.174724,0.0,0.0,0.0,1.397124,2
1629387397270582385,125958,1629387397250000000,gpsRover,1,3,33.911133382,-84.5300073317,300.914,0.238144,0.0,0.0,0.0,0.174724,0.0,0.0,0.0,1.397124,2
1629387397320416590,125959,1629387397299999952,gpsRover,1,3,33.9111333653,-84.530007332,300.92,0.238144,0.0,0.0,0.0,0.174724,0.0,0.0,0.0,1.397124,2
1629387397369622563,125960,1629387397349999905,gpsRover,1,3,33.9111333548,-84.5300073363,300.916,0.238144,0.0,0.0,0.0,0.174724,0.0,0.0,0.0,1.397124,2
