%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1633034047970338472,11971,1633034047950000048,gpsRover,2,3,33.9110935582,-84.5299954723,300.19,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048021214923,11972,1633034048000000000,gpsRover,2,3,33.9110935577,-84.5299954602,300.19,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048087282836,11973,1633034048049999952,gpsRover,2,3,33.911093564,-84.5299954532,300.191,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048123146940,11974,1633034048099999905,gpsRover,2,3,33.9110935822,-84.5299954983,300.186,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048171291512,11975,1633034048150000095,gpsRover,2,3,33.9110935692,-84.5299955148,300.189,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048221196185,11976,1633034048200000048,gpsRover,2,3,33.9110935865,-84.52999547,300.188,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048271069817,11977,1633034048250000000,gpsRover,2,3,33.9110935905,-84.529995444,300.186,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048321027621,11978,1633034048299999952,gpsRover,2,3,33.9110935877,-84.5299954675,300.185,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048371140289,11979,1633034048349999905,gpsRover,2,3,33.9110935742,-84.5299954552,300.191,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048421009346,11980,1633034048400000095,gpsRover,2,3,33.9110935768,-84.5299954235,300.19,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048470959036,11981,1633034048450000048,gpsRover,2,3,33.9110935813,-84.5299954268,300.191,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048521902375,11982,1633034048500000000,gpsRover,2,3,33.911093593,-84.5299954093,300.186,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048570826794,11983,1633034048549999952,gpsRover,2,3,33.9110936025,-84.5299954165,300.186,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048621741338,11984,1633034048599999905,gpsRover,2,3,33.9110936108,-84.5299954242,300.184,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048671912979,11985,1633034048650000095,gpsRover,2,3,33.911093617,-84.5299954123,300.182,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048724656572,11986,1633034048700000048,gpsRover,2,3,33.9110936165,-84.5299954242,300.186,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048771607917,11987,1633034048750000000,gpsRover,2,3,33.9110936407,-84.5299954668,300.177,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
1633034048821757281,11988,1633034048799999952,gpsRover,2,3,33.9110936275,-84.5299954645,300.177,4.9e-05,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.000289,2
