%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1595530170165688987,12600,1595530170150000095,gpsRover,1,3,33.910893105,-84.530089295,300.291,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170215699008,12601,1595530170200000048,gpsRover,1,3,33.9108931117,-84.53008929,300.291,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170265616223,12602,1595530170250000000,gpsRover,1,3,33.910893115,-84.5300892983,300.29,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170315553667,12603,1595530170299999952,gpsRover,1,3,33.9108930983,-84.530089295,300.289,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170365589106,12604,1595530170349999905,gpsRover,1,3,33.9108930983,-84.5300892933,300.29,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170415687487,12605,1595530170400000095,gpsRover,1,3,33.9108930967,-84.5300892783,300.289,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170465393846,12606,1595530170450000048,gpsRover,1,3,33.9108930917,-84.5300892767,300.289,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170515458221,12607,1595530170500000000,gpsRover,1,3,33.9108930867,-84.5300892817,300.288,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170566449969,12608,1595530170549999952,gpsRover,1,3,33.910893085,-84.530089275,300.29,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170615324049,12609,1595530170599999905,gpsRover,1,3,33.9108930883,-84.5300892717,300.288,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170665286876,12610,1595530170650000095,gpsRover,1,3,33.9108930817,-84.5300892667,300.286,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170715354967,12611,1595530170700000048,gpsRover,1,3,33.9108930767,-84.5300892683,300.287,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170765242791,12612,1595530170750000000,gpsRover,1,3,33.9108930783,-84.530089275,300.29,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170816199822,12613,1595530170799999952,gpsRover,1,3,33.9108930817,-84.5300892717,300.288,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170865157887,12614,1595530170849999905,gpsRover,1,3,33.9108930817,-84.53008927,300.287,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170916094658,12615,1595530170900000095,gpsRover,1,3,33.9108930783,-84.5300892783,300.285,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530170966022777,12616,1595530170950000048,gpsRover,1,3,33.9108930783,-84.5300892833,300.286,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
1595530171016096089,12617,1595530171000000000,gpsRover,1,3,33.9108930733,-84.5300892817,300.287,0.019881,0.0,0.0,0.0,0.021316,0.0,0.0,0.0,0.088209,2
